gene,transcript_id,transcript_name,strand,last_exon_start,last_exon_end,utr_length,utr_status,ig_label
CD22,ENST00000598537,CD22-219,+,35332547,35332830,,invalid_or_negative,
CD22,ENST00000598815,CD22-220,+,35341702,35341724,,missing_CDS,
CD22,ENST00000599717,CD22-221,+,35336036,35336134,3477,valid,
CD22,ENST00000599799,CD22-222,+,35329470,35329911,,missing_CDS,
CD22,ENST00000599811,CD22-223,+,35340881,35340961,,invalid_or_negative,
CD22,ENST00000600131,CD22-224,+,35336036,35336063,,invalid_or_negative,
CD22,ENST00000600424,CD22-225,+,35340881,35340950,,invalid_or_negative,
CD22,ENST00000600655,CD22-226,+,35340881,35341843,,missing_CDS,
CD22,ENST00000600905,CD22-227,+,35336036,35336219,,missing_CDS,
CD22,ENST00000601329,CD22-228,+,35338168,35338413,,missing_CDS,
CD22,ENST00000601414,CD22-229,+,35336036,35336166,,missing_CDS,
CD22,ENST00000601732,CD22-230,+,35337755,35337807,,missing_CDS,
CD22,ENST00000601769,CD22-231,+,35346566,35347266,10951,valid,
CD22,ENST00000602123,CD22-232,+,35341343,35341883,,missing_CDS,
CD22,ENST00000602224,CD22-233,+,35332553,35333090,,missing_CDS,
CD22,ENST00000613136,CD22-234,+,35336053,35336661,150,valid,
CD22,ENST00000884225,CD22-235,+,35346566,35347358,664,valid,
CD22,ENST00000884226,CD22-236,+,35346566,35347361,667,valid,
CD22,ENST00000884227,CD22-237,+,35346566,35347361,667,valid,
CD22,ENST00000884228,CD22-238,+,35346566,35347358,664,valid,
CD22,ENST00000918678,CD22-239,+,35346566,35347359,665,valid,
CD22,ENST00000948629,CD22-240,+,35346566,35346966,272,valid,
CD274,ENST00000381573,CD274-201,+,5467840,5470566,2707,valid,
CD274,ENST00000381577,CD274-202,+,5467840,5470554,2695,valid,
CD274,ENST00000474218,CD274-203,+,5462834,5463238,,missing_CDS,
CD274,ENST00000492923,CD274-204,+,5465499,5465912,,missing_CDS,
CD274,ENST00000498261,CD274-205,+,5467840,5467866,,missing_CDS,
CD276,ENST00000318424,CD276-201,+,73712934,73714509,1556,valid,
CD276,ENST00000318443,CD276-202,+,73712934,73714514,1561,valid,
CD276,ENST00000537340,CD276-203,+,73712934,73713677,724,valid,
CD276,ENST00000557951,CD276-204,+,73708339,73708689,,missing_CDS,
CD276,ENST00000558689,CD276-205,+,73702255,73702585,,invalid_or_negative,
CD276,ENST00000559073,CD276-206,+,73713290,73714514,1561,valid,
CD276,ENST00000559465,CD276-207,+,73712934,73714514,,missing_CDS,
CD276,ENST00000559978,CD276-208,+,73713842,73714053,,missing_CDS,
CD276,ENST00000560786,CD276-209,+,73702772,73702821,,invalid_or_negative,
CD276,ENST00000560928,CD276-210,+,73712934,73713580,11166,valid,
CD276,ENST00000560995,CD276-211,+,73702255,73702573,,invalid_or_negative,
CD276,ENST00000561176,CD276-212,+,73712934,73712998,45,valid,
CD276,ENST00000561213,CD276-213,+,73711135,73712154,967,valid,
CD276,ENST00000561260,CD276-214,+,73702772,73702849,,invalid_or_negative,
CD276,ENST00000561416,CD276-215,+,73702255,73702330,,invalid_or_negative,
CD276,ENST00000563584,CD276-216,+,73702255,73702497,,invalid_or_negative,
CD276,ENST00000564751,CD276-217,+,73712934,73712956,3,valid,
CD276,ENST00000567189,CD276-218,+,73702255,73702573,,invalid_or_negative,
CD276,ENST00000567582,CD276-219,+,73702772,73702952,538,valid,
CD276,ENST00000864253,CD276-220,+,73712934,73714518,1565,valid,
CD276,ENST00000864254,CD276-221,+,73712934,73714514,1561,valid,
CD276,ENST00000864255,CD276-222,+,73712934,73714514,1561,valid,
CD276,ENST00000864256,CD276-223,+,73712934,73714518,1565,valid,
CD276,ENST00000864257,CD276-224,+,73712934,73714514,1561,valid,
CD276,ENST00000864258,CD276-225,+,73712934,73714514,1561,valid,
CD276,ENST00000864259,CD276-226,+,73712934,73714516,1563,valid,
CD276,ENST00000864260,CD276-227,+,73712934,73714508,1555,valid,
CD276,ENST00000864261,CD276-228,+,73712934,73714514,1561,valid,
CD276,ENST00000921503,CD276-229,+,73712934,73714514,1561,valid,
CD276,ENST00000921504,CD276-230,+,73712934,73714514,1561,valid,
CD276,ENST00000921505,CD276-231,+,73712934,73714514,1561,valid,
CD276,ENST00000921506,CD276-232,+,73712934,73714514,1561,valid,
CD276,ENST00000921507,CD276-233,+,73712934,73714514,1561,valid,
CD276,ENST00000921508,CD276-234,+,73712934,73714514,1561,valid,
CD276,ENST00000921509,CD276-235,+,73712934,73714514,1561,valid,
CD276,ENST00000921510,CD276-236,+,73712934,73714515,1562,valid,
CD276,ENST00000921511,CD276-237,+,73712934,73714517,1564,valid,
CD276,ENST00000921512,CD276-238,+,73712934,73714514,1561,valid,
CD276,ENST00000953229,CD276-239,+,73712934,73714509,1556,valid,
CD276,ENST00000953230,CD276-240,+,73712934,73714509,1556,valid,
CD276,ENST00000953231,CD276-241,+,73712934,73714515,1562,valid,
CD276,ENST00000953232,CD276-242,+,73712934,73714509,1556,valid,
CD276,ENST00000953233,CD276-243,+,73712934,73714509,1556,valid,
CD276,ENST00000953234,CD276-244,+,73712934,73713192,239,valid,
CD44,ENST00000263398,CD44-201,+,35229129,35232402,3072,valid,
CD44,ENST00000278385,CD44-202,+,35229129,35229244,,invalid_or_negative,
CD44,ENST00000278386,CD44-203,+,35229129,35229333,49,valid,
CD44,ENST00000279452,CD44-204,+,35229129,35229322,,invalid_or_negative,
CD44,ENST00000352818,CD44-205,+,35229129,35229333,3,valid,
CD44,ENST00000415148,CD44-206,+,35229129,35229468,138,valid,
CD44,ENST00000425428,CD44-207,+,35229129,35230027,43189,valid,
CD44,ENST00000428726,CD44-208,+,35229129,35232402,3072,valid,
CD44,ENST00000433892,CD44-209,+,35229129,35230027,697,valid,
CD44,ENST00000434472,CD44-210,+,35229129,35229666,336,valid,
CD44,ENST00000442151,CD44-211,+,35222375,35223320,945,valid,
CD44,ENST00000524922,CD44-212,+,35201671,35201753,,invalid_or_negative,
CD44,ENST00000525209,CD44-213,+,35200539,35200636,,missing_CDS,
CD44,ENST00000525211,CD44-214,+,35208105,35208137,,invalid_or_negative,
CD44,ENST00000525241,CD44-215,+,35204512,35204811,,missing_CDS,
CD44,ENST00000525293,CD44-216,+,35221654,35221716,,missing_CDS,
CD44,ENST00000525348,CD44-217,+,35201668,35201731,,missing_CDS,
CD44,ENST00000525469,CD44-218,+,35229129,35229789,459,valid,
CD44,ENST00000525685,CD44-219,+,35211246,35211257,,invalid_or_negative,
CD44,ENST00000525688,CD44-220,+,35229129,35229164,,invalid_or_negative,
CD44,ENST00000526000,CD44-221,+,35214852,35214861,,invalid_or_negative,
CD44,ENST00000526025,CD44-222,+,35176575,35177110,369,valid,
CD44,ENST00000526553,CD44-223,+,35211246,35211253,,invalid_or_negative,
CD44,ENST00000526669,CD44-224,+,35229129,35229460,130,valid,
CD44,ENST00000527326,CD44-225,+,35229129,35229446,,missing_CDS,
CD44,ENST00000527889,CD44-226,+,35209965,35209969,,invalid_or_negative,
CD44,ENST00000528086,CD44-227,+,35209965,35209974,,missing_CDS,
CD44,ENST00000528455,CD44-228,+,35201671,35201767,,invalid_or_negative,
CD44,ENST00000528672,CD44-229,+,35211246,35211401,,invalid_or_negative,
CD44,ENST00000528922,CD44-230,+,35197869,35198555,,missing_CDS,
CD44,ENST00000531110,CD44-231,+,35211246,35211309,,invalid_or_negative,
CD44,ENST00000531118,CD44-232,+,35189835,35190429,,missing_CDS,
CD44,ENST00000531141,CD44-233,+,35221654,35221731,,missing_CDS,
CD44,ENST00000531873,CD44-234,+,35211246,35211310,,invalid_or_negative,
CD44,ENST00000532339,CD44-235,+,35208105,35208164,,missing_CDS,
CD44,ENST00000533222,CD44-236,+,35211246,35211342,,invalid_or_negative,
CD44,ENST00000534082,CD44-237,+,35205785,35206047,,missing_CDS,
CD44,ENST00000534296,CD44-238,+,35204512,35204909,,missing_CDS,
CD44,ENST00000904010,CD44-239,+,35229129,35232400,3070,valid,
CD44,ENST00000904011,CD44-240,+,35229129,35232380,3050,valid,
CD44,ENST00000904012,CD44-241,+,35229129,35232402,3072,valid,
CD44,ENST00000904013,CD44-242,+,35229129,35232402,3072,valid,
CD44,ENST00000904014,CD44-243,+,35229129,35232400,3070,valid,
CD44,ENST00000904015,CD44-244,+,35229129,35232398,3068,valid,
CD44,ENST00000904016,CD44-245,+,35229129,35232393,3063,valid,
CD44,ENST00000904017,CD44-246,+,35229129,35232393,3063,valid,
CD44,ENST00000904018,CD44-247,+,35229129,35230027,697,valid,
CD44,ENST00000904019,CD44-248,+,35229129,35230026,696,valid,
CD44,ENST00000904020,CD44-249,+,35229129,35229671,341,valid,
CD44,ENST00000904021,CD44-250,+,35229129,35229671,341,valid,
CD44,ENST00000904022,CD44-251,+,35229129,35229470,140,valid,
CD44,ENST00000904023,CD44-252,+,35229129,35229468,138,valid,
CD44,ENST00000935511,CD44-253,+,35229129,35230028,698,valid,
CD44,ENST00000969332,CD44-254,+,35229129,35232388,3058,valid,
CD44,ENST00000969333,CD44-255,+,35229129,35232382,3052,valid,
CD44,ENST00000969334,CD44-256,+,35229129,35232401,3071,valid,
CD44,ENST00000969335,CD44-257,+,35229129,35232402,3072,valid,
CD44,ENST00000969336,CD44-258,+,35229129,35232398,3068,valid,
CD44,ENST00000969337,CD44-259,+,35229129,35232393,3063,valid,
CD44,ENST00000969338,CD44-260,+,35229129,35232393,3063,valid,
CD44,ENST00000969339,CD44-261,+,35229129,35232393,3063,valid,
CD44,ENST00000969340,CD44-262,+,35229129,35232390,3060,valid,
CD44,ENST00000969341,CD44-263,+,35229129,35232390,3060,valid,
CD44,ENST00000969342,CD44-264,+,35229129,35232389,3059,valid,
CD44,ENST00000969343,CD44-265,+,35229129,35232388,3058,valid,
CD44,ENST00000969344,CD44-266,+,35229129,35230938,1608,valid,
CD44,ENST00000969345,CD44-267,+,35229129,35230027,697,valid,
CD44,ENST00000969346,CD44-268,+,35229129,35230027,697,valid,
CD44,ENST00000969347,CD44-269,+,35229129,35230026,696,valid,
CD44,ENST00000969348,CD44-270,+,35229129,35230026,696,valid,
CD44,ENST00000969349,CD44-271,+,35229129,35230026,696,valid,
CD44,ENST00000969350,CD44-272,+,35229129,35230027,697,valid,
CD44,ENST00000969351,CD44-273,+,35229129,35230026,696,valid,
CD44,ENST00000969352,CD44-274,+,35229129,35230026,696,valid,
CD44,ENST00000969353,CD44-275,+,35229129,35230026,696,valid,
CD44,ENST00000969354,CD44-276,+,35229129,35230026,696,valid,
CD44,ENST00000969355,CD44-277,+,35229129,35230026,696,valid,
CD44,ENST00000969356,CD44-278,+,35229129,35230026,696,valid,
CD44,ENST00000969357,CD44-279,+,35229129,35230022,692,valid,
CD44,ENST00000969358,CD44-280,+,35229129,35230023,693,valid,
CD44,ENST00000969359,CD44-281,+,35229129,35230024,694,valid,
CD44,ENST00000969360,CD44-282,+,35229129,35230020,690,valid,
CD44,ENST00000969361,CD44-283,+,35229129,35230020,690,valid,
CD44,ENST00000969362,CD44-284,+,35229129,35230017,687,valid,
CD44,ENST00000969363,CD44-285,+,35229129,35230019,689,valid,
CD44,ENST00000969364,CD44-286,+,35229129,35229978,648,valid,
CD44,ENST00000969365,CD44-287,+,35229129,35229468,138,valid,
CD44,ENST00000969366,CD44-288,+,35229129,35229469,139,valid,
CD44,ENST00000969367,CD44-289,+,35229129,35229468,138,valid,
CD44,ENST00000969368,CD44-290,+,35229129,35229468,138,valid,
CD44,ENST00000969369,CD44-291,+,35229129,35229468,138,valid,
CD44,ENST00000969370,CD44-292,+,35229129,35229467,137,valid,
CD44,ENST00000969371,CD44-293,+,35229129,35229467,137,valid,
CD44,ENST00000969372,CD44-294,+,35229129,35229466,136,valid,
CD44,ENST00000969373,CD44-295,+,35229129,35229466,136,valid,
CD44,ENST00000969374,CD44-296,+,35229129,35229466,136,valid,
CD44,ENST00000969375,CD44-297,+,35229129,35229466,136,valid,
CD44,ENST00000969376,CD44-298,+,35229129,35229466,136,valid,
CD44,ENST00000969377,CD44-299,+,35229129,35229465,135,valid,
CD47,ENST00000355354,CD47-201,-,108043091,108047292,4196,valid,
CD47,ENST00000361309,CD47-202,-,108043091,108047292,4200,valid,
CD47,ENST00000398258,CD47-203,-,108047079,108047292,212,valid,
CD47,ENST00000471694,CD47-204,-,108043298,108047292,,missing_CDS,
CD47,ENST00000517766,CD47-205,-,108047079,108047292,212,valid,
CD47,ENST00000644850,CD47-206,-,108059457,108059544,,invalid_or_negative,
CD47,ENST00000887585,CD47-207,-,108043098,108047292,4193,valid,
CD47,ENST00000887586,CD47-208,-,108043630,108047292,3661,valid,
CD47,ENST00000887587,CD47-209,-,108044908,108047292,2383,valid,
CD47,ENST00000887588,CD47-210,-,108045560,108047292,1731,valid,
CD47,ENST00000887589,CD47-211,-,108047062,108047292,229,valid,
CD47,ENST00000887590,CD47-212,-,108047067,108047292,224,valid,
CD47,ENST00000887591,CD47-213,-,108047080,108047292,211,valid,
CD47,ENST00000887592,CD47-214,-,108047065,108047292,226,valid,
CD47,ENST00000887593,CD47-215,-,108047079,108047292,212,valid,
CD47,ENST00000920144,CD47-216,-,108047065,108047292,226,valid,
CD47,ENST00000960414,CD47-217,-,108047085,108047292,206,valid,
CD47,ENST00000960415,CD47-218,-,108047093,108047292,198,valid,
CD55,ENST00000314754,CD55-201,+,207359546,207360501,835,valid,
CD55,ENST00000343420,CD55-202,+,207336693,207336788,,invalid_or_negative,
CD55,ENST00000367063,CD55-203,+,207340391,207340766,125,valid,
CD55,ENST00000367064,CD55-204,+,207359546,207360966,1359,valid,
CD55,ENST00000391921,CD55-205,+,207359546,207359713,106,valid,
CD55,ENST00000465534,CD55-206,+,207359546,207359713,,missing_CDS,
CD55,ENST00000476590,CD55-207,+,207359546,207360502,,missing_CDS,
CD55,ENST00000488171,CD55-208,+,207337329,207337659,,missing_CDS,
CD55,ENST00000618707,CD55-209,+,207372769,207373246,378,valid,
CD55,ENST00000634386,CD55-210,+,207386206,207386804,1569,valid,
CD55,ENST00000635614,CD55-211,+,207372769,207373252,2504,valid,
CD55,ENST00000644836,CD55-212,+,207359546,207359876,5799,valid,
CD55,ENST00000645323,CD55-213,+,207359546,207360336,670,valid,
CD55,ENST00000695822,CD55-214,+,207365913,207365940,,missing_CDS,
CD55,ENST00000695823,CD55-215,+,207359546,207360402,795,valid,
CD55,ENST00000695824,CD55-216,+,207339397,207340751,1242,valid,
CD55,ENST00000695825,CD55-217,+,207359546,207360337,20828,valid,
CD55,ENST00000695826,CD55-218,+,207372769,207373114,341,valid,
CD55,ENST00000695827,CD55-219,+,207359546,207360417,,missing_CDS,
CD55,ENST00000695828,CD55-220,+,207340391,207340728,87,valid,
CD55,ENST00000695829,CD55-221,+,207331108,207332223,,missing_CDS,
CD55,ENST00000695830,CD55-222,+,207326752,207327546,,missing_CDS,
CD55,ENST00000695831,CD55-223,+,207359546,207360399,,missing_CDS,
CD55,ENST00000945373,CD55-224,+,207362651,207363544,3937,valid,
CD55,ENST00000945374,CD55-225,+,207359546,207360964,1357,valid,
CD55,ENST00000945375,CD55-226,+,207359546,207360956,1349,valid,
CD55,ENST00000945376,CD55-227,+,207359546,207360501,894,valid,
CD55,ENST00000945377,CD55-228,+,207359546,207360502,895,valid,
CD55,ENST00000945378,CD55-229,+,207359546,207360502,895,valid,
CD55,ENST00000945379,CD55-230,+,207359546,207360501,894,valid,
CD55,ENST00000945380,CD55-231,+,207359546,207360502,895,valid,
CD55,ENST00000945381,CD55-232,+,207359546,207360500,893,valid,
CD55,ENST00000945382,CD55-233,+,207359546,207360498,891,valid,
CD55,ENST00000945383,CD55-234,+,207359570,207360499,892,valid,
CD59,ENST00000351554,CD59-201,-,33709996,33710343,133,valid,
CD59,ENST00000395850,CD59-202,-,33708715,33710343,1414,valid,
CD59,ENST00000415002,CD59-203,-,33709635,33710343,494,valid,
CD59,ENST00000426650,CD59-204,-,33709470,33710343,861,valid,
CD59,ENST00000437761,CD59-205,-,33709929,33710343,200,valid,
CD59,ENST00000445143,CD59-206,-,33709798,33710343,331,valid,
CD59,ENST00000527577,CD59-207,-,33710005,33710343,124,valid,
CD59,ENST00000528700,CD59-208,-,33710153,33710343,,invalid_or_negative,
CD59,ENST00000528987,CD59-209,-,33708870,33710343,,missing_CDS,
CD59,ENST00000533403,CD59-210,-,33709556,33710343,722,valid,
CD59,ENST00000642928,CD59-211,-,33703010,33710343,7119,valid,
CD59,ENST00000643183,CD59-212,-,33710099,33710343,179,valid,
CD59,ENST00000651485,CD59-213,-,33708748,33710343,8116,valid,
CD59,ENST00000651785,CD59-214,-,33703010,33710343,7119,valid,
CD59,ENST00000652086,CD59-215,-,33709439,33710343,1985,valid,
CD59,ENST00000652678,CD59-216,-,33703012,33710343,7117,valid,
CD59,ENST00000706436,CD59-217,-,33703010,33710343,7268,valid,
CD59,ENST00000873801,CD59-218,-,33708679,33710343,1450,valid,
CD59,ENST00000873802,CD59-219,-,33708678,33710343,1451,valid,
CD59,ENST00000873803,CD59-220,-,33708796,33710343,1333,valid,
CD59,ENST00000873804,CD59-221,-,33708865,33710343,1264,valid,
CD59,ENST00000873805,CD59-222,-,33708867,33710343,1262,valid,
CD59,ENST00000873806,CD59-223,-,33708865,33710343,1264,valid,
CD59,ENST00000873807,CD59-224,-,33708870,33710343,1259,valid,
CD59,ENST00000873808,CD59-225,-,33708863,33710343,1266,valid,
CD59,ENST00000938901,CD59-226,-,33708681,33710343,1448,valid,
CD59,ENST00000969476,CD59-227,-,33708871,33710343,1258,valid,
CD59,ENST00000969477,CD59-228,-,33708679,33710334,1450,valid,
CD59,ENST00000969478,CD59-229,-,33708676,33710343,1453,valid,
CD59,ENST00000969479,CD59-230,-,33708870,33710343,1259,valid,
CD59,ENST00000969480,CD59-231,-,33709989,33710343,140,valid,
CD59,ENST00000969481,CD59-232,-,33708685,33710343,1444,valid,
CD79A,ENST00000221972,CD79A-201,+,41880867,41881372,395,valid,
CD79A,ENST00000444740,CD79A-202,+,41880867,41880980,3,valid,
CD79A,ENST00000597454,CD79A-203,+,41880867,41880980,110,valid,
CD79B,ENST00000006750,CD79B-201,-,63928740,63929324,489,valid,
CD79B,ENST00000349817,CD79B-202,-,63929226,63929324,3,valid,
CD79B,ENST00000392795,CD79B-203,-,63928740,63929324,489,valid,
CD79B,ENST00000558969,CD79B-204,-,63930960,63931385,,missing_CDS,
CD79B,ENST00000559358,CD79B-205,-,63928768,63929324,,missing_CDS,
CD79B,ENST00000583260,CD79B-206,-,63931891,63932323,,missing_CDS,
CD79B,ENST00000698624,CD79B-207,-,63928738,63929324,,missing_CDS,
CD79B,ENST00000903736,CD79B-208,-,63928739,63929324,490,valid,
CD79B,ENST00000920712,CD79B-209,-,63928743,63929324,486,valid,
CDH1,ENST00000261769,CDH1-201,+,68833290,68835537,2041,valid,
CDH1,ENST00000422392,CDH1-202,+,68833290,68833536,40,valid,
CDH1,ENST00000561751,CDH1-203,+,68812135,68812240,548,valid,
CDH1,ENST00000562118,CDH1-204,+,68833290,68833584,,missing_CDS,
CDH1,ENST00000562836,CDH1-205,+,68833290,68833538,,missing_CDS,
CDH1,ENST00000564676,CDH1-206,+,68808693,68808848,,missing_CDS,
CDH1,ENST00000564745,CDH1-207,+,68808693,68808747,,missing_CDS,
CDH1,ENST00000565810,CDH1-208,+,68813313,68813413,,missing_CDS,
CDH1,ENST00000566510,CDH1-209,+,68833290,68833536,18011,valid,
CDH1,ENST00000566612,CDH1-210,+,68833290,68835030,12984,valid,
CDH1,ENST00000567320,CDH1-211,+,68808693,68809003,,missing_CDS,
CDH1,ENST00000884375,CDH1-212,+,68833290,68835540,2044,valid,
CDH1,ENST00000931199,CDH1-213,+,68833290,68835539,2043,valid,
CDH5,ENST00000341529,CDH5-201,+,66402652,66404784,1618,valid,
CDH5,ENST00000539168,CDH5-202,+,66402652,66403335,169,valid,
CDH5,ENST00000562048,CDH5-203,+,66386809,66386992,,invalid_or_negative,
CDH5,ENST00000563425,CDH5-204,+,66392136,66392985,601,valid,
CDH5,ENST00000565334,CDH5-205,+,66402652,66403408,12913,valid,
CDH5,ENST00000568023,CDH5-206,+,66379319,66379389,,invalid_or_negative,
CDH5,ENST00000568155,CDH5-207,+,66386809,66386827,,invalid_or_negative,
CDH5,ENST00000649567,CDH5-208,+,66402652,66404767,1601,valid,
CDH5,ENST00000894863,CDH5-209,+,66402652,66404784,1618,valid,
CDH5,ENST00000894864,CDH5-210,+,66402652,66404782,1616,valid,
CTLA4,ENST00000295854,CTLA4-201,+,203872708,203872775,3,valid,
CTLA4,ENST00000427473,CTLA4-202,+,203872708,203873090,,missing_CDS,
CTLA4,ENST00000487393,CTLA4-203,+,203872708,203872812,40,valid,
CTLA4,ENST00000648405,CTLA4-204,+,203872708,203873965,1156,valid,
CTLA4,ENST00000650075,CTLA4-205,+,203872708,203872856,,missing_CDS,
CTLA4,ENST00000696049,CTLA4-206,+,203872708,203873196,387,valid,
CTLA4,ENST00000696479,CTLA4-207,+,203872708,203873965,1156,valid,
EGFR,ENST00000275493,EGFR-201,+,55205256,55211628,6014,valid,
EGFR,ENST00000342916,EGFR-202,+,55168523,55168635,109,valid,
EGFR,ENST00000344576,EGFR-203,+,55170307,55171037,496,valid,
EGFR,ENST00000420316,EGFR-204,+,55156759,55156951,111,valid,
EGFR,ENST00000450046,EGFR-205,+,55205256,55211536,5922,valid,
EGFR,ENST00000455089,EGFR-206,+,55202517,55203076,314,valid,
EGFR,ENST00000459688,EGFR-207,+,55043833,55046004,,missing_CDS,
EGFR,ENST00000463948,EGFR-208,+,55119056,55119401,,missing_CDS,
EGFR,ENST00000485503,EGFR-209,+,55200316,55200802,,missing_CDS,
EGFR,ENST00000700144,EGFR-210,+,55156759,55157014,,missing_CDS,
EGFR,ENST00000700145,EGFR-211,+,55205347,55205865,387,valid,
EGFR,ENST00000700146,EGFR-212,+,55205256,55208067,,missing_CDS,
EGFR,ENST00000700147,EGFR-213,+,55205256,55206016,,missing_CDS,
EGFR,ENST00000898199,EGFR-214,+,55205256,55205898,284,valid,
EGFR,ENST00000898200,EGFR-215,+,55205256,55205911,297,valid,
EGFR,ENST00000898201,EGFR-216,+,55205256,55205911,297,valid,
EGFR,ENST00000898202,EGFR-217,+,55205256,55205911,297,valid,
FASLG,ENST00000340030,FASLG-201,+,172665622,172666075,1709,valid,
FASLG,ENST00000367721,FASLG-202,+,172665622,172666876,863,valid,
FASLG,ENST00000875216,FASLG-203,+,172665622,172666870,857,valid,
FGFR2,ENST00000336553,FGFR2-201,-,121483718,121483803,,invalid_or_negative,
FGFR2,ENST00000346997,FGFR2-202,-,121479857,121480021,3,valid,
FGFR2,ENST00000351936,FGFR2-203,-,121478347,121480021,1513,valid,
FGFR2,ENST00000356226,FGFR2-204,-,121479072,121480021,788,valid,
FGFR2,ENST00000357555,FGFR2-205,-,121478334,121479670,1250,valid,
FGFR2,ENST00000358487,FGFR2-206,-,121478332,121480021,1528,valid,
FGFR2,ENST00000359354,FGFR2-207,-,121537966,121538410,431,valid,
FGFR2,ENST00000360144,FGFR2-208,-,121481835,121482177,340,valid,
FGFR2,ENST00000369056,FGFR2-209,-,121481856,121482177,319,valid,
FGFR2,ENST00000369058,FGFR2-210,-,121483698,121483803,,invalid_or_negative,
FGFR2,ENST00000369059,FGFR2-211,-,121479619,121480021,241,valid,
FGFR2,ENST00000369060,FGFR2-212,-,121479218,121480021,642,valid,
FGFR2,ENST00000369061,FGFR2-213,-,121478334,121480021,1526,valid,
FGFR2,ENST00000429361,FGFR2-214,-,121479855,121480021,25,valid,
FGFR2,ENST00000457416,FGFR2-215,-,121478332,121480021,1528,valid,
FGFR2,ENST00000463870,FGFR2-216,-,121515227,121515319,,missing_CDS,
FGFR2,ENST00000467584,FGFR2-217,-,121479785,121480021,,missing_CDS,
FGFR2,ENST00000478859,FGFR2-218,-,121478364,121480021,1496,valid,
FGFR2,ENST00000490349,FGFR2-219,-,121517334,121517463,,missing_CDS,
FGFR2,ENST00000491111,FGFR2-220,-,121583302,121583574,,missing_CDS,
FGFR2,ENST00000491475,FGFR2-221,-,121564324,121564579,,missing_CDS,
FGFR2,ENST00000604236,FGFR2-222,-,121479227,121480021,38226,valid,
FGFR2,ENST00000611527,FGFR2-223,-,121564324,121564579,173,valid,
FGFR2,ENST00000613048,FGFR2-224,-,121478334,121480021,1526,valid,
FGFR2,ENST00000613324,FGFR2-225,-,121564324,121564579,173,valid,
FGFR2,ENST00000636922,FGFR2-226,-,121564325,121564579,,invalid_or_negative,
FGFR2,ENST00000638709,FGFR2-227,-,121478347,121480021,1513,valid,
FGFR2,ENST00000682296,FGFR2-228,-,121478347,121480021,,missing_CDS,
FGFR2,ENST00000682400,FGFR2-229,-,121517212,121517463,,missing_CDS,
FGFR2,ENST00000682550,FGFR2-230,-,121478347,121480021,1513,valid,
FGFR2,ENST00000682772,FGFR2-231,-,121478347,121480021,1513,valid,
FGFR2,ENST00000682904,FGFR2-232,-,121478347,121480021,,missing_CDS,
FGFR2,ENST00000683029,FGFR2-233,-,121478357,121480021,,missing_CDS,
FGFR2,ENST00000683035,FGFR2-234,-,121564335,121564579,162,valid,
FGFR2,ENST00000683211,FGFR2-235,-,121478347,121480021,1513,valid,
FGFR2,ENST00000683250,FGFR2-236,-,121478357,121480021,25577,valid,
