gene,polyA_group,feature_type,feature_id,chrom,start,end,strand,transcripts,transcript_names,avg_utr_length,min_utr_length,max_utr_length,evidence_tier
CD19,CD19_polyA2,last_exon_group,CD19_polyA2_exon_ENST00000567368,16,28939141,28939218,+,ENST00000567368,CD19-205,,,,tier1_group
CD19,CD19_polyA3,polyA_window,CD19_polyA3_window,16,28939141,28939541,+,ENST00000324662;ENST00000538922;ENST00000565089,CD19-201;CD19-202;CD19-203,381.0,380,382,tier3_polyA
CD19,CD19_polyA3,last_exon_group,CD19_polyA3_exon_ENST00000324662,16,28939141,28939340,+,ENST00000324662,CD19-201,381.0,380,382,tier1_group
CD19,CD19_polyA3,last_exon_group,CD19_polyA3_exon_ENST00000538922,16,28939141,28939342,+,ENST00000538922,CD19-202,381.0,380,382,tier1_group
CD19,CD19_polyA3,last_exon_group,CD19_polyA3_exon_ENST00000565089,16,28939141,28939342,+,ENST00000565089,CD19-203,381.0,380,382,tier1_group
CD22,CD22_polyA1,polyA_window,CD22_polyA1_window,19,35329719,35330119,+,ENST00000599799;ENST00000594954,CD22-222;CD22-211,,,,tier3_polyA
CD22,CD22_polyA1,last_exon_group,CD22_polyA1_exon_ENST00000599799,19,35329470,35329911,+,ENST00000599799,CD22-222,,,,tier1_group
CD22,CD22_polyA1,last_exon_group,CD22_polyA1_exon_ENST00000594954,19,35329367,35329928,+,ENST00000594954,CD22-211,,,,tier1_group
CD22,CD22_polyA2,polyA_window,CD22_polyA2_window,19,35332630,35333030,+,ENST00000598537,CD22-219,0.0,0,0,tier3_polyA
CD22,CD22_polyA2,last_exon_group,CD22_polyA2_exon_ENST00000598537,19,35332547,35332830,+,ENST00000598537,CD22-219,0.0,0,0,tier1_group
CD22,CD22_polyA3,polyA_window,CD22_polyA3_window,19,35332721,35333121,+,ENST00000595780;ENST00000595419,CD22-213;CD22-212,0.0,0,0,tier3_polyA
CD22,CD22_polyA3,last_exon_group,CD22_polyA3_exon_ENST00000595780,19,35332547,35332912,+,ENST00000595780,CD22-213,0.0,0,0,tier1_group
CD22,CD22_polyA3,last_exon_group,CD22_polyA3_exon_ENST00000595419,19,35332594,35332931,+,ENST00000595419,CD22-212,0.0,0,0,tier1_group
CD22,CD22_polyA4,polyA_window,CD22_polyA4_window,19,35332890,35333290,+,ENST00000602224,CD22-233,,,,tier3_polyA
CD22,CD22_polyA4,last_exon_group,CD22_polyA4_exon_ENST00000602224,19,35332553,35333090,+,ENST00000602224,CD22-233,,,,tier1_group
CD22,CD22_polyA5,polyA_window,CD22_polyA5_window,19,35335852,35336252,+,ENST00000597916;ENST00000600131,CD22-216;CD22-224,0.0,0,0,tier3_polyA
CD22,CD22_polyA5,last_exon_group,CD22_polyA5_exon_ENST00000597916,19,35336036,35336042,+,ENST00000597916,CD22-216,0.0,0,0,tier1_group
CD22,CD22_polyA5,last_exon_group,CD22_polyA5_exon_ENST00000600131,19,35336036,35336063,+,ENST00000600131,CD22-224,0.0,0,0,tier1_group
CD22,CD22_polyA6,polyA_window,CD22_polyA6_window,19,35335971,35336371,+,ENST00000599717;ENST00000596492;ENST00000601414;ENST00000598138;ENST00000600905,CD22-221;CD22-214;CD22-229;CD22-218;CD22-227,3477.0,3477,3477,tier3_polyA
CD22,CD22_polyA6,last_exon_group,CD22_polyA6_exon_ENST00000599717,19,35336036,35336134,+,ENST00000599717,CD22-221,3477.0,3477,3477,tier1_group
CD22,CD22_polyA6,last_exon_group,CD22_polyA6_exon_ENST00000596492,19,35336036,35336146,+,ENST00000596492,CD22-214,3477.0,3477,3477,tier1_group
CD22,CD22_polyA6,last_exon_group,CD22_polyA6_exon_ENST00000601414,19,35336036,35336166,+,ENST00000601414,CD22-229,3477.0,3477,3477,tier1_group
CD22,CD22_polyA6,last_exon_group,CD22_polyA6_exon_ENST00000598138,19,35336036,35336191,+,ENST00000598138,CD22-218,3477.0,3477,3477,tier1_group
CD22,CD22_polyA6,last_exon_group,CD22_polyA6_exon_ENST00000600905,19,35336036,35336219,+,ENST00000600905,CD22-227,3477.0,3477,3477,tier1_group
CD22,CD22_polyA7,polyA_window,CD22_polyA7_window,19,35336100,35336500,+,ENST00000593867,CD22-207,0.0,0,0,tier3_polyA
CD22,CD22_polyA7,last_exon_group,CD22_polyA7_exon_ENST00000593867,19,35336036,35336300,+,ENST00000593867,CD22-207,0.0,0,0,tier1_group
CD22,CD22_polyA8,polyA_window,CD22_polyA8_window,19,35336461,35336861,+,ENST00000613136,CD22-234,150.0,150,150,tier3_polyA
CD22,CD22_polyA8,last_exon_group,CD22_polyA8_exon_ENST00000613136,19,35336053,35336661,+,ENST00000613136,CD22-234,150.0,150,150,tier1_group
CD22,CD22_polyA9,polyA_window,CD22_polyA9_window,19,35337607,35338007,+,ENST00000601732,CD22-230,,,,tier3_polyA
CD22,CD22_polyA9,last_exon_group,CD22_polyA9_exon_ENST00000601732,19,35337755,35337807,+,ENST00000601732,CD22-230,,,,tier1_group
CD22,CD22_polyA10,polyA_window,CD22_polyA10_window,19,35337777,35338177,+,ENST00000598028,CD22-217,,,,tier3_polyA
CD22,CD22_polyA10,last_exon_group,CD22_polyA10_exon_ENST00000598028,19,35337755,35337977,+,ENST00000598028,CD22-217,,,,tier1_group
CD22,CD22_polyA11,polyA_window,CD22_polyA11_window,19,35337970,35338370,+,ENST00000594349,CD22-210,1855.0,1855,1855,tier3_polyA
CD22,CD22_polyA11,last_exon_group,CD22_polyA11_exon_ENST00000594349,19,35338168,35338170,+,ENST00000594349,CD22-210,1855.0,1855,1855,tier1_group
CD22,CD22_polyA12,polyA_window,CD22_polyA12_window,19,35338213,35338613,+,ENST00000601329,CD22-228,,,,tier3_polyA
CD22,CD22_polyA12,last_exon_group,CD22_polyA12_exon_ENST00000601329,19,35338168,35338413,+,ENST00000601329,CD22-228,,,,tier1_group
CD22,CD22_polyA13,polyA_window,CD22_polyA13_window,19,35340755,35341155,+,ENST00000600424;ENST00000599811,CD22-225;CD22-223,0.0,0,0,tier3_polyA
CD22,CD22_polyA13,last_exon_group,CD22_polyA13_exon_ENST00000600424,19,35340881,35340950,+,ENST00000600424,CD22-225,0.0,0,0,tier1_group
CD22,CD22_polyA13,last_exon_group,CD22_polyA13_exon_ENST00000599811,19,35340881,35340961,+,ENST00000599811,CD22-223,0.0,0,0,tier1_group
CD22,CD22_polyA14,polyA_window,CD22_polyA14_window,19,35340829,35341229,+,ENST00000597433,CD22-215,,,,tier3_polyA
CD22,CD22_polyA14,last_exon_group,CD22_polyA14_exon_ENST00000597433,19,35340881,35341029,+,ENST00000597433,CD22-215,,,,tier1_group
CD22,CD22_polyA15,polyA_window,CD22_polyA15_window,19,35341524,35341924,+,ENST00000598815,CD22-220,,,,tier3_polyA
CD22,CD22_polyA15,last_exon_group,CD22_polyA15_exon_ENST00000598815,19,35341702,35341724,+,ENST00000598815,CD22-220,,,,tier1_group
CD22,CD22_polyA16,polyA_window,CD22_polyA16_window,19,35341663,35342063,+,ENST00000600655;ENST00000602123,CD22-226;CD22-232,,,,tier3_polyA
CD22,CD22_polyA16,last_exon_group,CD22_polyA16_exon_ENST00000600655,19,35340881,35341843,+,ENST00000600655,CD22-226,,,,tier1_group
CD22,CD22_polyA16,last_exon_group,CD22_polyA16_exon_ENST00000602123,19,35341343,35341883,+,ENST00000602123,CD22-232,,,,tier1_group
CD22,CD22_polyA17,polyA_window,CD22_polyA17_window,19,35344926,35345326,+,ENST00000594125,CD22-208,3989.0,3989,3989,tier3_polyA
CD22,CD22_polyA17,last_exon_group,CD22_polyA17_exon_ENST00000594125,19,35345051,35345126,+,ENST00000594125,CD22-208,3989.0,3989,3989,tier1_group
CD22,CD22_polyA18,polyA_window,CD22_polyA18_window,19,35345224,35345624,+,ENST00000593704,CD22-206,,,,tier3_polyA
CD22,CD22_polyA18,last_exon_group,CD22_polyA18_exon_ENST00000593704,19,35345051,35345424,+,ENST00000593704,CD22-206,,,,tier1_group
CD22,CD22_polyA19,polyA_window,CD22_polyA19_window,19,35346566,35346966,+,ENST00000594250,CD22-209,72.0,72,72,tier3_polyA
CD22,CD22_polyA19,last_exon_group,CD22_polyA19_exon_ENST00000594250,19,35346566,35346766,+,ENST00000594250,CD22-209,72.0,72,72,tier1_group
CD22,CD22_polyA20,polyA_window,CD22_polyA20_window,19,35346741,35347141,+,ENST00000419549;ENST00000544992;ENST00000948629,CD22-203;CD22-205;CD22-240,413.6666666666667,235,734,tier3_polyA
CD22,CD22_polyA20,last_exon_group,CD22_polyA20_exon_ENST00000419549,19,35346566,35346929,+,ENST00000419549,CD22-203,413.6666666666667,235,734,tier1_group
CD22,CD22_polyA20,last_exon_group,CD22_polyA20_exon_ENST00000544992,19,35346566,35346929,+,ENST00000544992,CD22-205,413.6666666666667,235,734,tier1_group
CD22,CD22_polyA20,last_exon_group,CD22_polyA20_exon_ENST00000948629,19,35346566,35346966,+,ENST00000948629,CD22-240,413.6666666666667,235,734,tier1_group
CD22,CD22_polyA21,polyA_window,CD22_polyA21_window,19,35347066,35347466,+,ENST00000601769,CD22-231,10951.0,10951,10951,tier3_polyA
CD22,CD22_polyA21,last_exon_group,CD22_polyA21_exon_ENST00000601769,19,35346566,35347266,+,ENST00000601769,CD22-231,10951.0,10951,10951,tier1_group
CD22,CD22_polyA22,polyA_window,CD22_polyA22_window,19,35347158,35347558,+,ENST00000341773;ENST00000536635;ENST00000884225;ENST00000884228;ENST00000918678;ENST00000085219;ENST00000884226;ENST00000884227,CD22-202;CD22-204;CD22-235;CD22-238;CD22-239;CD22-201;CD22-236;CD22-237,664.5,661,667,tier3_polyA
CD22,CD22_polyA22,last_exon_group,CD22_polyA22_exon_ENST00000341773,19,35346566,35347355,+,ENST00000341773,CD22-202,664.5,661,667,tier1_group
CD22,CD22_polyA22,last_exon_group,CD22_polyA22_exon_ENST00000536635,19,35346566,35347355,+,ENST00000536635,CD22-204,664.5,661,667,tier1_group
CD22,CD22_polyA22,last_exon_group,CD22_polyA22_exon_ENST00000884225,19,35346566,35347358,+,ENST00000884225,CD22-235,664.5,661,667,tier1_group
CD22,CD22_polyA22,last_exon_group,CD22_polyA22_exon_ENST00000884228,19,35346566,35347358,+,ENST00000884228,CD22-238,664.5,661,667,tier1_group
CD22,CD22_polyA22,last_exon_group,CD22_polyA22_exon_ENST00000918678,19,35346566,35347359,+,ENST00000918678,CD22-239,664.5,661,667,tier1_group
CD22,CD22_polyA22,last_exon_group,CD22_polyA22_exon_ENST00000085219,19,35346566,35347361,+,ENST00000085219,CD22-201,664.5,661,667,tier1_group
CD22,CD22_polyA22,last_exon_group,CD22_polyA22_exon_ENST00000884226,19,35346566,35347361,+,ENST00000884226,CD22-236,664.5,661,667,tier1_group
CD22,CD22_polyA22,last_exon_group,CD22_polyA22_exon_ENST00000884227,19,35346566,35347361,+,ENST00000884227,CD22-237,664.5,661,667,tier1_group
CD274,CD274_polyA1,polyA_window,CD274_polyA1_window,9,5463038,5463438,+,ENST00000474218,CD274-203,,,,tier3_polyA
CD274,CD274_polyA1,last_exon_group,CD274_polyA1_exon_ENST00000474218,9,5462834,5463238,+,ENST00000474218,CD274-203,,,,tier1_group
CD274,CD274_polyA2,polyA_window,CD274_polyA2_window,9,5465712,5466112,+,ENST00000492923,CD274-204,,,,tier3_polyA
CD274,CD274_polyA2,last_exon_group,CD274_polyA2_exon_ENST00000492923,9,5465499,5465912,+,ENST00000492923,CD274-204,,,,tier1_group
CD274,CD274_polyA3,polyA_window,CD274_polyA3_window,9,5467666,5468066,+,ENST00000498261,CD274-205,,,,tier3_polyA
CD274,CD274_polyA3,last_exon_group,CD274_polyA3_exon_ENST00000498261,9,5467840,5467866,+,ENST00000498261,CD274-205,,,,tier1_group
CD274,CD274_polyA4,polyA_window,CD274_polyA4_window,9,5470360,5470760,+,ENST00000381577;ENST00000381573,CD274-202;CD274-201,2701.0,2695,2707,tier3_polyA
CD274,CD274_polyA4,last_exon_group,CD274_polyA4_exon_ENST00000381577,9,5467840,5470554,+,ENST00000381577,CD274-202,2701.0,2695,2707,tier1_group
CD274,CD274_polyA4,last_exon_group,CD274_polyA4_exon_ENST00000381573,9,5467840,5470566,+,ENST00000381573,CD274-201,2701.0,2695,2707,tier1_group
CD276,CD276_polyA1,polyA_window,CD276_polyA1_window,15,73702130,73702530,+,ENST00000561416,CD276-215,0.0,0,0,tier3_polyA
CD276,CD276_polyA1,last_exon_group,CD276_polyA1_exon_ENST00000561416,15,73702255,73702330,+,ENST00000561416,CD276-215,0.0,0,0,tier1_group
CD276,CD276_polyA2,polyA_window,CD276_polyA2_window,15,73702297,73702697,+,ENST00000563584,CD276-216,0.0,0,0,tier3_polyA
CD276,CD276_polyA2,last_exon_group,CD276_polyA2_exon_ENST00000563584,15,73702255,73702497,+,ENST00000563584,CD276-216,0.0,0,0,tier1_group
CD276,CD276_polyA3,polyA_window,CD276_polyA3_window,15,73702377,73702777,+,ENST00000560995;ENST00000567189;ENST00000558689,CD276-211;CD276-218;CD276-205,0.0,0,0,tier3_polyA
CD276,CD276_polyA3,last_exon_group,CD276_polyA3_exon_ENST00000560995,15,73702255,73702573,+,ENST00000560995,CD276-211,0.0,0,0,tier1_group
CD276,CD276_polyA3,last_exon_group,CD276_polyA3_exon_ENST00000567189,15,73702255,73702573,+,ENST00000567189,CD276-218,0.0,0,0,tier1_group
CD276,CD276_polyA3,last_exon_group,CD276_polyA3_exon_ENST00000558689,15,73702255,73702585,+,ENST00000558689,CD276-205,0.0,0,0,tier1_group
CD276,CD276_polyA4,polyA_window,CD276_polyA4_window,15,73702635,73703035,+,ENST00000560786;ENST00000561260,CD276-209;CD276-214,0.0,0,0,tier3_polyA
CD276,CD276_polyA4,last_exon_group,CD276_polyA4_exon_ENST00000560786,15,73702772,73702821,+,ENST00000560786,CD276-209,0.0,0,0,tier1_group
CD276,CD276_polyA4,last_exon_group,CD276_polyA4_exon_ENST00000561260,15,73702772,73702849,+,ENST00000561260,CD276-214,0.0,0,0,tier1_group
CD276,CD276_polyA5,polyA_window,CD276_polyA5_window,15,73702752,73703152,+,ENST00000567582,CD276-219,538.0,538,538,tier3_polyA
CD276,CD276_polyA5,last_exon_group,CD276_polyA5_exon_ENST00000567582,15,73702772,73702952,+,ENST00000567582,CD276-219,538.0,538,538,tier1_group
CD276,CD276_polyA6,polyA_window,CD276_polyA6_window,15,73708489,73708889,+,ENST00000557951,CD276-204,,,,tier3_polyA
CD276,CD276_polyA6,last_exon_group,CD276_polyA6_exon_ENST00000557951,15,73708339,73708689,+,ENST00000557951,CD276-204,,,,tier1_group
CD276,CD276_polyA7,polyA_window,CD276_polyA7_window,15,73711954,73712354,+,ENST00000561213,CD276-213,967.0,967,967,tier3_polyA
CD276,CD276_polyA7,last_exon_group,CD276_polyA7_exon_ENST00000561213,15,73711135,73712154,+,ENST00000561213,CD276-213,967.0,967,967,tier1_group
CD276,CD276_polyA8,polyA_window,CD276_polyA8_window,15,73712777,73713177,+,ENST00000564751;ENST00000561176,CD276-217;CD276-212,24.0,3,45,tier3_polyA
CD276,CD276_polyA8,last_exon_group,CD276_polyA8_exon_ENST00000564751,15,73712934,73712956,+,ENST00000564751,CD276-217,24.0,3,45,tier1_group
CD276,CD276_polyA8,last_exon_group,CD276_polyA8_exon_ENST00000561176,15,73712934,73712998,+,ENST00000561176,CD276-212,24.0,3,45,tier1_group
CD276,CD276_polyA9,polyA_window,CD276_polyA9_window,15,73712992,73713392,+,ENST00000953234,CD276-244,239.0,239,239,tier3_polyA
CD276,CD276_polyA9,last_exon_group,CD276_polyA9_exon_ENST00000953234,15,73712934,73713192,+,ENST00000953234,CD276-244,239.0,239,239,tier1_group
CD276,CD276_polyA10,polyA_window,CD276_polyA10_window,15,73713380,73713780,+,ENST00000560928,CD276-210,11166.0,11166,11166,tier3_polyA
CD276,CD276_polyA10,last_exon_group,CD276_polyA10_exon_ENST00000560928,15,73712934,73713580,+,ENST00000560928,CD276-210,11166.0,11166,11166,tier1_group
CD276,CD276_polyA11,polyA_window,CD276_polyA11_window,15,73713477,73713877,+,ENST00000537340,CD276-203,724.0,724,724,tier3_polyA
CD276,CD276_polyA11,last_exon_group,CD276_polyA11_exon_ENST00000537340,15,73712934,73713677,+,ENST00000537340,CD276-203,724.0,724,724,tier1_group
CD276,CD276_polyA12,polyA_window,CD276_polyA12_window,15,73713853,73714253,+,ENST00000559978,CD276-208,,,,tier3_polyA
CD276,CD276_polyA12,last_exon_group,CD276_polyA12_exon_ENST00000559978,15,73713842,73714053,+,ENST00000559978,CD276-208,,,,tier1_group
CD276,CD276_polyA13,polyA_window,CD276_polyA13_window,15,73714313,73714713,+,ENST00000864260;ENST00000318424;ENST00000953229;ENST00000953230;ENST00000953232;ENST00000953233;ENST00000318443;ENST00000559073;ENST00000559465;ENST00000864254;ENST00000864255;ENST00000864257;ENST00000864258;ENST00000864261;ENST00000921503;ENST00000921504;ENST00000921505;ENST00000921506;ENST00000921507;ENST00000921508;ENST00000921509;ENST00000921512;ENST00000921510;ENST00000953231;ENST00000864259;ENST00000921511;ENST00000864253;ENST00000864256,CD276-227;CD276-201;CD276-239;CD276-240;CD276-242;CD276-243;CD276-202;CD276-206;CD276-207;CD276-221;CD276-222;CD276-224;CD276-225;CD276-228;CD276-229;CD276-230;CD276-231;CD276-232;CD276-233;CD276-234;CD276-235;CD276-238;CD276-236;CD276-241;CD276-226;CD276-237;CD276-220;CD276-223,1560.4074074074074,1555,1565,tier3_polyA
CD276,CD276_polyA13,last_exon_group,CD276_polyA13_exon_ENST00000864260,15,73712934,73714508,+,ENST00000864260,CD276-227,1560.4074074074074,1555,1565,tier1_group
CD276,CD276_polyA13,last_exon_group,CD276_polyA13_exon_ENST00000318424,15,73712934,73714509,+,ENST00000318424,CD276-201,1560.4074074074074,1555,1565,tier1_group
CD276,CD276_polyA13,last_exon_group,CD276_polyA13_exon_ENST00000953229,15,73712934,73714509,+,ENST00000953229,CD276-239,1560.4074074074074,1555,1565,tier1_group
CD276,CD276_polyA13,last_exon_group,CD276_polyA13_exon_ENST00000953230,15,73712934,73714509,+,ENST00000953230,CD276-240,1560.4074074074074,1555,1565,tier1_group
CD276,CD276_polyA13,last_exon_group,CD276_polyA13_exon_ENST00000953232,15,73712934,73714509,+,ENST00000953232,CD276-242,1560.4074074074074,1555,1565,tier1_group
CD276,CD276_polyA13,last_exon_group,CD276_polyA13_exon_ENST00000953233,15,73712934,73714509,+,ENST00000953233,CD276-243,1560.4074074074074,1555,1565,tier1_group
CD276,CD276_polyA13,last_exon_group,CD276_polyA13_exon_ENST00000318443,15,73712934,73714514,+,ENST00000318443,CD276-202,1560.4074074074074,1555,1565,tier1_group
CD276,CD276_polyA13,last_exon_group,CD276_polyA13_exon_ENST00000559073,15,73713290,73714514,+,ENST00000559073,CD276-206,1560.4074074074074,1555,1565,tier1_group
CD276,CD276_polyA13,last_exon_group,CD276_polyA13_exon_ENST00000559465,15,73712934,73714514,+,ENST00000559465,CD276-207,1560.4074074074074,1555,1565,tier1_group
CD276,CD276_polyA13,last_exon_group,CD276_polyA13_exon_ENST00000864254,15,73712934,73714514,+,ENST00000864254,CD276-221,1560.4074074074074,1555,1565,tier1_group
CD276,CD276_polyA13,last_exon_group,CD276_polyA13_exon_ENST00000864255,15,73712934,73714514,+,ENST00000864255,CD276-222,1560.4074074074074,1555,1565,tier1_group
CD276,CD276_polyA13,last_exon_group,CD276_polyA13_exon_ENST00000864257,15,73712934,73714514,+,ENST00000864257,CD276-224,1560.4074074074074,1555,1565,tier1_group
CD276,CD276_polyA13,last_exon_group,CD276_polyA13_exon_ENST00000864258,15,73712934,73714514,+,ENST00000864258,CD276-225,1560.4074074074074,1555,1565,tier1_group
CD276,CD276_polyA13,last_exon_group,CD276_polyA13_exon_ENST00000864261,15,73712934,73714514,+,ENST00000864261,CD276-228,1560.4074074074074,1555,1565,tier1_group
CD276,CD276_polyA13,last_exon_group,CD276_polyA13_exon_ENST00000921503,15,73712934,73714514,+,ENST00000921503,CD276-229,1560.4074074074074,1555,1565,tier1_group
CD276,CD276_polyA13,last_exon_group,CD276_polyA13_exon_ENST00000921504,15,73712934,73714514,+,ENST00000921504,CD276-230,1560.4074074074074,1555,1565,tier1_group
CD276,CD276_polyA13,last_exon_group,CD276_polyA13_exon_ENST00000921505,15,73712934,73714514,+,ENST00000921505,CD276-231,1560.4074074074074,1555,1565,tier1_group
CD276,CD276_polyA13,last_exon_group,CD276_polyA13_exon_ENST00000921506,15,73712934,73714514,+,ENST00000921506,CD276-232,1560.4074074074074,1555,1565,tier1_group
CD276,CD276_polyA13,last_exon_group,CD276_polyA13_exon_ENST00000921507,15,73712934,73714514,+,ENST00000921507,CD276-233,1560.4074074074074,1555,1565,tier1_group
CD276,CD276_polyA13,last_exon_group,CD276_polyA13_exon_ENST00000921508,15,73712934,73714514,+,ENST00000921508,CD276-234,1560.4074074074074,1555,1565,tier1_group
CD276,CD276_polyA13,last_exon_group,CD276_polyA13_exon_ENST00000921509,15,73712934,73714514,+,ENST00000921509,CD276-235,1560.4074074074074,1555,1565,tier1_group
CD276,CD276_polyA13,last_exon_group,CD276_polyA13_exon_ENST00000921512,15,73712934,73714514,+,ENST00000921512,CD276-238,1560.4074074074074,1555,1565,tier1_group
CD276,CD276_polyA13,last_exon_group,CD276_polyA13_exon_ENST00000921510,15,73712934,73714515,+,ENST00000921510,CD276-236,1560.4074074074074,1555,1565,tier1_group
CD276,CD276_polyA13,last_exon_group,CD276_polyA13_exon_ENST00000953231,15,73712934,73714515,+,ENST00000953231,CD276-241,1560.4074074074074,1555,1565,tier1_group
CD276,CD276_polyA13,last_exon_group,CD276_polyA13_exon_ENST00000864259,15,73712934,73714516,+,ENST00000864259,CD276-226,1560.4074074074074,1555,1565,tier1_group
CD276,CD276_polyA13,last_exon_group,CD276_polyA13_exon_ENST00000921511,15,73712934,73714517,+,ENST00000921511,CD276-237,1560.4074074074074,1555,1565,tier1_group
CD276,CD276_polyA13,last_exon_group,CD276_polyA13_exon_ENST00000864253,15,73712934,73714518,+,ENST00000864253,CD276-220,1560.4074074074074,1555,1565,tier1_group
CD276,CD276_polyA13,last_exon_group,CD276_polyA13_exon_ENST00000864256,15,73712934,73714518,+,ENST00000864256,CD276-223,1560.4074074074074,1555,1565,tier1_group
CD44,CD44_polyA1,polyA_window,CD44_polyA1_window,11,35176910,35177310,+,ENST00000526025,CD44-222,369.0,369,369,tier3_polyA
CD44,CD44_polyA1,last_exon_group,CD44_polyA1_exon_ENST00000526025,11,35176575,35177110,+,ENST00000526025,CD44-222,369.0,369,369,tier1_group
CD44,CD44_polyA2,polyA_window,CD44_polyA2_window,11,35190229,35190629,+,ENST00000531118,CD44-232,,,,tier3_polyA
CD44,CD44_polyA2,last_exon_group,CD44_polyA2_exon_ENST00000531118,11,35189835,35190429,+,ENST00000531118,CD44-232,,,,tier1_group
CD44,CD44_polyA3,polyA_window,CD44_polyA3_window,11,35198355,35198755,+,ENST00000528922,CD44-230,,,,tier3_polyA
CD44,CD44_polyA3,last_exon_group,CD44_polyA3_exon_ENST00000528922,11,35197869,35198555,+,ENST00000528922,CD44-230,,,,tier1_group
CD44,CD44_polyA4,polyA_window,CD44_polyA4_window,11,35200436,35200836,+,ENST00000525209,CD44-213,,,,tier3_polyA
CD44,CD44_polyA4,last_exon_group,CD44_polyA4_exon_ENST00000525209,11,35200539,35200636,+,ENST00000525209,CD44-213,,,,tier1_group
CD44,CD44_polyA5,polyA_window,CD44_polyA5_window,11,35201550,35201950,+,ENST00000525348;ENST00000524922;ENST00000528455,CD44-217;CD44-212;CD44-228,0.0,0,0,tier3_polyA
CD44,CD44_polyA5,last_exon_group,CD44_polyA5_exon_ENST00000525348,11,35201668,35201731,+,ENST00000525348,CD44-217,0.0,0,0,tier1_group
CD44,CD44_polyA5,last_exon_group,CD44_polyA5_exon_ENST00000524922,11,35201671,35201753,+,ENST00000524922,CD44-212,0.0,0,0,tier1_group
CD44,CD44_polyA5,last_exon_group,CD44_polyA5_exon_ENST00000528455,11,35201671,35201767,+,ENST00000528455,CD44-228,0.0,0,0,tier1_group
CD44,CD44_polyA6,polyA_window,CD44_polyA6_window,11,35204611,35205011,+,ENST00000525241,CD44-215,,,,tier3_polyA
CD44,CD44_polyA6,last_exon_group,CD44_polyA6_exon_ENST00000525241,11,35204512,35204811,+,ENST00000525241,CD44-215,,,,tier1_group
CD44,CD44_polyA7,polyA_window,CD44_polyA7_window,11,35204709,35205109,+,ENST00000534296,CD44-238,,,,tier3_polyA
CD44,CD44_polyA7,last_exon_group,CD44_polyA7_exon_ENST00000534296,11,35204512,35204909,+,ENST00000534296,CD44-238,,,,tier1_group
CD44,CD44_polyA8,polyA_window,CD44_polyA8_window,11,35205847,35206247,+,ENST00000534082,CD44-237,,,,tier3_polyA
